feature,rf_importance,rf_rank,correlation,corr_rank,mutual_info,mi_rank,avg_rank,combined_rank
가시거리_4,5.163343099806906e-07,174.0,0.06816811796448966,71.0,0.012945732874965366,124.0,123.0,136.0
peak_dayofweek,1.4758769417778696e-05,118.0,0.03682497423867592,99.0,0.0022857518709484825,154.0,123.66666666666667,137.0
가시거리_2,2.0402807087925006e-06,155.0,0.054281062050581,86.0,0.0111073526469605,132.0,124.33333333333333,138.0
sunshine_change1h,1.4546894566399895e-05,119.0,0.011995495439293355,150.0,0.020935266571499245,107.0,125.33333333333333,139.0
windspeed_roll3h_std,5.578762866185807e-05,76.0,0.004607344013424151,170.0,0.006281995171691257,137.0,127.66666666666667,140.0
evening_stratus_prob,2.1311151766213478e-05,109.0,0.013068612087183112,145.0,0.00754491998376805,136.0,130.0,141.0
sun_bin_2,2.7052158649371483e-06,150.0,0.042530518218242684,95.0,0.0035982546101187562,149.0,131.33333333333334,142.0
습도_급변,1.6840642383661802e-05,112.0,0.015257302954817512,135.0,0.003486159960335744,150.0,132.33333333333334,143.0
sun_bin_3,3.0129411906007968e-06,148.0,0.03530203531957295,100.0,0.0029079677718208963,152.0,133.33333333333334,144.0
가시거리_1,6.861830528901106e-07,170.0,0.03348210896172451,103.0,0.011492705272627024,131.0,134.66666666666666,145.0
기온(°C)_이상치,7.017387424651076e-07,169.0,0.04609854277443733,91.0,0.0041789731170447375,145.0,135.0,146.0
rainfall_roll3h_std,7.046265159427226e-06,133.0,0.014701982080756664,137.0,0.005873783798808763,140.0,136.66666666666666,147.5
windspeed_change1h,3.91579634277306e-05,90.0,0.007328924680923447,160.0,0.0015622955033860464,160.0,136.66666666666666,147.5
sun_bin_5,1.8730030671775664e-06,157.0,0.026295485776097086,115.0,0.005690760684314178,141.0,137.66666666666666,149.0
rainfall_roll3h,7.859430941355844e-06,130.0,0.01446948634388337,138.0,0.00390931692377916,146.0,138.0,150.5
풍속_급변,3.780535152534003e-05,92.0,0.0002685588857959433,180.0,0.0047411850095548935,142.0,138.0,150.5
morning_fog_prob,5.150540879737877e-06,142.0,0.024315696945764412,121.0,0.002496667253722773,153.0,138.66666666666666,152.0
sun_bin_4,1.778225835469053e-06,158.0,0.03125514845167147,106.0,0.0018313063649957328,159.0,141.0,153.0
is_global_holiday,1.2182652040888393e-05,124.0,0.013462869042890931,142.5,0.0011038322531136124,167.0,144.5,154.0
is_holiday,1.2280069192061044e-05,123.0,0.013462869042890931,142.5,0.0009170606171049478,170.0,145.16666666666666,155.0
sun_bin_1,2.2411269677860475e-06,151.0,0.023596079381980897,123.0,0.0013792891965631604,163.0,145.66666666666666,156.0
rainfall_lag1h,6.6665062767466095e-06,135.0,0.011275102122754711,153.0,0.0019639535144126974,157.0,148.33333333333334,157.0
rainfall_roll2h,7.578989436502664e-06,132.0,0.012924739838858314,146.0,0.0007606833688769132,171.0,149.66666666666666,158.0
습도(%)_이상치,8.320113273664375e-07,167.0,0.014419209541964871,139.0,0.004339043324465441,144.0,150.0,159.0
humid_x_rain,2.729477478992393e-06,149.0,0.010173858895520848,158.0,0.0037694001322636783,148.0,151.66666666666666,160.0
rainfall_lag2h,6.664637873498881e-06,136.0,0.011693834053368834,152.0,0.0005264667499345066,172.0,153.33333333333334,161.0
